run,case,phase,kernel,calls,total_us,share_pct,mean_us,median_us,p95_us,max_us,top_one_pct_of_group,time_rank,count_rank
1,b1_p2048_o32,full_request,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<unsigned long, (int)2, void at::native::templates::cuda::random_from_to_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, unsigned long, long, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(curandStatePhilox4_32_10 *) (instance 1)], void at::native::<unnamed>::distribution_nullary_kernel<long, unsigned long, ulonglong2, at::CUDAGeneratorImpl *, void at::native::templates::cuda::random_from_to_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, unsigned long, long, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(curandStatePhilox4_32_10 *) (instance 1)], void at::native::templates::cuda::random_from_to_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, unsigned long, long, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(unsigned long) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, unsigned long) (instance 1)]>(long, at::PhiloxCudaState, T3, T4)",32,35.78,0.030190574160171093,1.118125,1.12,1.18445,1.216,3.3985466741196197,19,16
1,b1_p2048_o32,full_request,triton_per_fused__to_copy_amax_ge_mul_neg_scalar_tensor_unsqueeze_where_1,32,30.403,0.025653550200997254,0.95009375,0.96,1.0704,1.152,3.7890997598921157,21,17
1,b1_p2048_o32,full_request,triton_per_fused__softmax_div_ge_mul_neg_scalar_tensor_sub_unsqueeze_where_4,32,22.529,0.019009598805324053,0.70403125,0.704,0.736,0.768,3.408939588974211,22,18
1,b1_p2048_o32,full_request,"void at::native::<unnamed>::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2, (int)-2>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, long)",31,40.257,0.03396819295600916,1.2986129032258065,1.281,1.344,1.408,3.4975283801574877,18,19
1,b1_p2048_o32,full_request,"void flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)128, (int)128, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)128, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(flash::Flash_fwd_params)",28,8248.175,6.95967409233005,294.5776785714286,245.5525,602.76545,679.502,8.238210270756865,4,20
1,b1_p2048_o32,full_request,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x256_32x4_tn_align8>(T1::Params),28,4118.584,3.475193283591227,147.0922857142857,147.13,147.70919999999998,147.786,3.588272085745975,5,21
1,b1_p2048_o32,full_request,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x6_tn_align8>(T1::Params),28,4090.262,3.4512956468845655,146.08078571428572,100.775,471.74574999999976,678.222,16.58138280628478,7,22
1,b1_p2048_o32,full_request,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)",1,7.04,0.005940235944315386,7.04,7.04,7.04,7.04,100.0,23,23
1,b1_p2048_o32,full_request,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)2>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)",1,2.689,0.002268933871344328,2.689,2.689,2.689,2.689,99.99999999999999,24,24
1,b1_p2048_o32,full_request,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)",1,1.28,0.0010800428989664339,1.28,1.28,1.28,1.28,100.0,25,25
1,b1_p2048_o32,full_request,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)",1,1.152,0.0009720386090697903,1.152,1.152,1.152,1.152,100.0,26,26
1,b1_p2048_o32,prefill,triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0,57,395.71,1.1090955250457821,6.942280701754386,7.04,8.620799999999994,11.137,2.8144348133734303,7,1
